Player,Base Price,TYPE,Cost,Age,Inns,Balls,Runs,Wkts,Avg,Nt,R_wkt,R_avg,R_eco
Rashid Khan,0,BOWLER,15,23,309,7157,7571,435,17.4,o,18,20.83,6.69
Lockie Ferguson,2,BOWLER,10,30,95,2004,2520,112,22.5,o,13,17.23,7.46
Mohammad Shami,2,BOWLER,6.25,31,117,2487,3451,136,25.37,i,19,20.78,7.5
Yash Dayal,0.2,BOWLER,3.2,24,15,26,332,15,22.13,i,0,0,0
R. Sai Kishore,0.2,BOWLER,3,25,38,821,748,43,17.39,i,0,0,0
Alzarri Joseph,0.75,BOWLER,2.4,25,36,761,1132,41,27.6,o,0,0,0
Varun Aaron,0.5,BOWLER,0.5,32,85,1769,2531,87,29.09,i,0,0,0
Noor Ahmad,0.3,BOWLER,0.3,17,37,841,1036,35,24,o,0,0,0
Deepak Chahar,2,BOWLER,14,29,118,2520,3216,134,24,i,14,32.21,8.35
Adam Milne,1.5,BOWLER,1.9,29,133,2854,3645,151,24.13,o,3,43.66,9.35
Prashant Solanki,0.2,BOWLER,1.2,22,1,24,26,1,26,i,0,0,0
Maheesh Theekshana,0.5,BOWLER,0.7,21,47,1044,1051,51,20.6,o,0,0,0
Simarjeet Singh,0.2,BOWLER,0.2,24,20,393,488,24,20.33,i,0,0,0
K.M. Asif,0.2,BOWLER,0.2,28,20,373,505,21,24.04,i,1,18,8.3
Tushar Deshpande,0.2,BOWLER,0.2,26,31,658,955,44,21.7,i,0,0,0
Mukesh Choudhary,0.2,BOWLER,0.2,25,12,259,367,16,22.93,i,0,0,0
Shardul Thakur,2,BOWLER,10.75,30,123,2587,3694,147,25.12,i,21,25.09,8.8
Anrich Nortje,-1,BOWLER,6.5,28,65,1438,1728,83,20.81,o,12,15.58,6.16
Syed Khaleel Ahmed,0.5,BOWLER,5.25,24,69,1537,2082,87,23.93,i,5,43.8,8.11
Chetan Sakariya,0.5,BOWLER,4.2,24,37,836,1054,51,20.66,i,14,30.42,8.19
Mustafizur Rahman,2,BOWLER,2,26,181,3959,4781,241,19.83,o,14,31.14,8.41
Kuldeep Yadav,1,BOWLER,2,27,99,2133,2675,122,21.92,i,0,0,0
Lungisani Ngidi,0.5,BOWLER,0.5,25,83,1663,2207,117,18.86,o,5,25,10.41
Varun Chakaravarthy,-1,BOWLER,8,30,7,873,971,38,25.55,i,18,24.88,6.58
Umesh Yadav,2,BOWLER,2,34,149,3134,4323,150,28.82,i,0,0,0
Tim Southee,1.5,BOWLER,1.5,33,212,4663,6395,245,26.1,o,3,31.66,7.91
Rasikh Dar,0.2,BOWLER,0.2,21,6,136,211,4,52.75,i,0,0,0
Kagiso Rabada,2,BOWLER,9.25,26,133,2977,3914,180,21.74,o,15,30.4,8.14
Rahul Chahar,0.75,BOWLER,5.25,22,70,1549,1898,84,22.59,i,13,24.46,7.39
Arshdeep Singh,-1,BOWLER,4,23,35,724,982,42,23.38,i,18,19,8.27
Vaibhav Arora,0.2,BOWLER,2,24,12,260,302,12,25.16,i,0,0,0
Nathan Ellis,0.75,BOWLER,0.75,27,44,962,1293,50,25.86,o,1,98,8.16
Sandeep Sharma,0.5,BOWLER,0.5,28,146,3201,3994,161,24.8,i,3,67.66,8.63
Ishan Porel,0.2,BOWLER,0.25,23,22,480,537,30,17.9,i,1,39,9.75
Baltej Dhanda,0.2,BOWLER,0.2,31,22,489,637,26,24.5,i,0,0,0
